ActorAttrType_18114_Text,abmL,h唤醒体属性类型_ActorAttrType_A.csv,8,ActorAttrType,Text,,体质,체력
ActorAttrType_18114_AttributeUpText,abmK,h唤醒体属性类型_ActorAttrType_A.csv,8,ActorAttrType,AttributeUpText,,体质+{s1},체력 +{s1}
ActorAttrType_18114_AttributeDesc,abmJ,h唤醒体属性类型_ActorAttrType_A.csv,8,ActorAttrType,AttributeDesc,,体质越高，唤醒体的最大生命就越高。\n守密人调查等级越高，体质对唤醒体的最大生命的影响越强。,체력이 높을수록 각성체의 최대 HP가 상승합니다.\n수호자 조사 등급이 높을수록 체력이 각성체의 최대 HP에 미치는 영향이 더욱 강해집니다.
ActorAttrType_18116_Text,abmR,h唤醒体属性类型_ActorAttrType_A.csv,9,ActorAttrType,Text,,体质提升,체력 상승
ActorAttrType_18116_AttributeUpText,abmQ,h唤醒体属性类型_ActorAttrType_A.csv,9,ActorAttrType,AttributeUpText,,体质+{s1},체력 +{s1}
ActorAttrType_18116_AttributeDesc,abmP,h唤醒体属性类型_ActorAttrType_A.csv,9,ActorAttrType,AttributeDesc,,体质越高，唤醒体的最大生命就越高。\n守密人调查等级越高，体质对唤醒体的最大生命的影响越强。,체력이 높을수록 각성체의 최대 HP가 상승합니다.\n수호자 조사 등급이 높을수록 체력이 각성체의 최대 HP에 미치는 영향이 더욱 강해집니다.
ActorAttrType_18107_Text,abmq,h唤醒体属性类型_ActorAttrType_A.csv,10,ActorAttrType,Text,,攻击,공격
ActorAttrType_18107_AttributeUpText,abmp,h唤醒体属性类型_ActorAttrType_A.csv,10,ActorAttrType,AttributeUpText,,攻击+{s1},공격 +{s1}
ActorAttrType_18128_Text,abnB,h唤醒体属性类型_ActorAttrType_A.csv,11,ActorAttrType,Text,,攻击提升,공격 상승
ActorAttrType_18128_AttributeUpText,abnA,h唤醒体属性类型_ActorAttrType_A.csv,11,ActorAttrType,AttributeUpText,,攻击+{s1},공격 +{s1}
ActorAttrType_18167_Text,abpL,h唤醒体属性类型_ActorAttrType_A.csv,12,ActorAttrType,Text,,防御,방어
ActorAttrType_18167_AttributeUpText,abpK,h唤醒体属性类型_ActorAttrType_A.csv,12,ActorAttrType,AttributeUpText,,防御+{s1},방어 +{s1}
ActorAttrType_18112_Text,abmF,h唤醒体属性类型_ActorAttrType_A.csv,13,ActorAttrType,Text,,防御提升,방어 상승
ActorAttrType_18112_AttributeUpText,abmE,h唤醒体属性类型_ActorAttrType_A.csv,13,ActorAttrType,AttributeUpText,,防御+{s1},방어 +{s1}
ActorAttrType_18159_Text,abpn,h唤醒体属性类型_ActorAttrType_A.csv,14,ActorAttrType,Text,,暴击率,크리티컬 확률
ActorAttrType_18159_AttributeUpText,abpm,h唤醒体属性类型_ActorAttrType_A.csv,14,ActorAttrType,AttributeUpText,,暴击率+{s1},크리티컬 확률 +{s1}
ActorAttrType_18105_Text,abmk,h唤醒体属性类型_ActorAttrType_A.csv,15,ActorAttrType,Text,,暴击伤害,크리티컬 피해
